ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,SHIPPING_COST,PAYMENT_METHOD,SHIPPING_ADDRESS,BILLING_ADDRESS,CREATED_AT,UPDATED_AT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,2025-01-06T00:00:00.000,Delivered,3680.74,16.42,Credit Card,31260 Wayne Light Apt. 919,486 Leslie Freeway,2025-01-06T00:00:00.000,2025-01-09T00:00:00.000,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
921000921,1000457,2025-01-07T15:23:31.293,Delivered,6174.78,11.85,Debit Card,71801 Christopher Extension,5363 Anthony Corner Apt. 355,2025-01-07T15:23:31.293,2025-01-08T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
923000923,1000458,2025-01-27T15:23:31.293,Delivered,5148.5,13.15,PayPal,8918 Amanda Springs Suite 436,669 Stephen Square,2025-01-27T15:23:31.293,2025-01-28T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
924000924,1000458,2025-01-24T15:23:31.293,Delivered,1018.46,8.67,Debit Card,0295 Tabitha Center,51330 Eric Prairie Apt. 520,2025-01-24T15:23:31.293,2025-01-26T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
925000925,1000458,2025-01-24T15:23:31.293,Delivered,2026.91,9.16,Credit Card,479 Heather Summit,56637 Good Corners Suite 016,2025-01-24T15:23:31.293,2025-01-26T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
926000926,1000459,2025-01-20T15:23:31.293,Delivered,1049.86,8.66,Credit Card,1320 Blair Island,84034 Sandra Ramp Suite 840,2025-01-20T15:23:31.293,2025-01-22T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
927000927,1000459,2025-01-20T15:23:31.293,Delivered,2162.6,6.28,Debit Card,06209 Hughes Ford Apt. 560,67647 John Run Suite 773,2025-01-20T15:23:31.293,2025-01-22T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
928000928,1000459,2025-01-20T15:23:31.293,Delivered,4150.02,10.54,Debit Card,62352 Evans Ports,8152 Chandler Stravenue,2025-01-20T15:23:31.293,2025-01-21T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
929000929,1000460,2025-02-01T15:23:31.293,Shipped,4204.12,19.59,Credit Card,8289 Liu Pine Apt. 309,773 Joseph Passage Apt. 706,2025-02-01T15:23:31.293,2025-02-01T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
930000930,1000460,2025-01-25T15:23:31.293,Delivered,2379.73,8.05,PayPal,5564 Hannah Roads Apt. 903,585 Diaz Mountain,2025-01-25T15:23:31.293,2025-01-25T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
931000931,1000461,2025-01-22T15:23:31.293,Delivered,8240.77,9.82,Debit Card,20911 Wilson Freeway Apt. 366,6177 Julie Neck,2025-01-22T15:23:31.293,2025-01-24T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
932000932,1000461,2025-01-28T15:23:31.293,Delivered,1941.97,17.95,Credit Card,273 Holmes Lodge,4733 Johnson Drive,2025-01-28T15:23:31.293,2025-01-30T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
933000933,1000461,2025-02-04T15:23:31.293,Pending,3567.06,6.43,Debit Card,45814 Frank Drives Apt. 902,079 Thompson Route,2025-02-04T15:23:31.293,2025-02-06T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
934000934,1000463,2025-02-05T15:23:31.293,Pending,2714.05,17.15,Debit Card,81946 Travis Hollow Apt. 312,0806 Carter Ville Apt. 414,2025-02-05T15:23:31.293,2025-02-07T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
935000935,1000463,2025-02-01T15:23:31.293,Shipped,3846.9,18.81,PayPal,6000 Mosley Lights,08873 Jennifer Freeway,2025-02-01T15:23:31.293,2025-02-03T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
936000936,1000464,2025-01-11T15:23:31.293,Delivered,2403.33,16.51,Credit Card,3021 Gloria Extension,8090 Pineda Highway Apt. 394,2025-01-11T15:23:31.293,2025-01-11T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
937000937,1000464,2025-01-20T15:23:31.293,Delivered,4698.13,10.2,PayPal,9009 Mahoney Pine,0396 Jeremy Road,2025-01-20T15:23:31.293,2025-01-20T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
922000922,1000457,2025-01-13T15:23:31.293,Delivered,3194.8,15.75,Debit Card,22483 James Locks Suite 496,458 Francis Views,2025-01-13T15:23:31.293,2025-01-14T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
920000920,1000456,2025-01-28T15:23:31.293,Delivered,4585.39,16.29,PayPal,8448 John Grove,4022 Brown Squares,2025-01-28T15:23:31.293,2025-01-28T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
1716001716,1000844,2025-01-14T15:23:31.293,Delivered,1208.04,19.47,Credit Card,36248 Graham Summit Suite 923,27362 Dixon Causeway Apt. 583,2025-01-14T15:23:31.293,2025-01-14T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
919000919,1000455,2025-02-02T15:23:31.293,Processing,813.49,11.09,Credit Card,38062 Bishop Grove,09780 Adam Squares Suite 710,2025-02-02T15:23:31.293,2025-02-03T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
904000904,1000451,2025-01-24T15:23:31.293,Delivered,4202.74,9.04,Debit Card,4991 Owen Motorway,727 Wells Plaza,2025-01-24T15:23:31.293,2025-01-24T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
905000905,1000451,2025-01-24T15:23:31.293,Delivered,2671.75,17.31,Credit Card,3708 Kline Manor,463 Barber Mountain,2025-01-24T15:23:31.293,2025-01-26T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
906000906,1000451,2025-02-04T15:23:31.293,Pending,3705.48,12.36,Credit Card,298 Russo Neck,23895 Wheeler Way,2025-02-04T15:23:31.293,2025-02-05T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
907000907,1000452,2025-01-29T15:23:31.293,Delivered,1005.23,5.65,Debit Card,986 Greer Port,973 Bradford Throughway,2025-01-29T15:23:31.293,2025-01-31T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
908000908,1000453,2025-01-13T15:23:31.293,Delivered,2137.89,16.46,Debit Card,90578 Watts Road,08898 Norton Centers Apt. 376,2025-01-13T15:23:31.293,2025-01-15T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
909000909,1000453,2025-01-16T15:23:31.293,Delivered,2352.3,6.92,PayPal,2109 Corey Centers Suite 803,957 Morales Bridge Apt. 856,2025-01-16T15:23:31.293,2025-01-18T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
910000910,1000453,2025-01-28T15:23:31.293,Delivered,1290.55,12.65,Credit Card,579 Frank Underpass Apt. 265,4474 Pace Ports,2025-01-28T15:23:31.293,2025-01-30T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
939000939,1000465,2025-02-04T15:23:31.293,Pending,2189.71,7.4,Credit Card,57035 Maddox Cove Suite 708,84227 Salas Tunnel Suite 513,2025-02-04T15:23:31.293,2025-02-04T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
998000998,1000487,2025-01-19T15:23:31.293,Delivered,2408.16,8.85,Credit Card,8236 Alejandro Skyway Apt. 375,5782 Bond Glen,2025-01-19T15:23:31.293,2025-01-20T15:23:31.293,historic,0403bf1f-feb9-48d3-9a27-86959c0e1ccf,2025-02-08 17:37:58
