review_id,product_id,order_id,customer_id,review_score,review_text
1000001,269,1000001,1000000,5,Not worth the price. Complicated to use.
1000002,617,1000001,1000000,3,Had issues with Underperforms.
1000003,225,2000002,1000001,5,Disappointed with this Barnes-Jenkins Heart. Complicated to use.
1000004,662,2000002,1000001,1,"Average Day, Campbell and Sanders Trip. Could be better."
1000005,370,3000003,1000001,5,Really happy with this purchase. Easy to use and Superior performance.
1000006,395,3000003,1000001,1,"Decent Gonzalez, Manning and Palmer Peace. Easy to use, but Doesn't fit well."
1000007,646,4000004,1000002,3,Poor quality Hayden-Wells Hope. Unappealing design.
1000008,468,4000004,1000002,4,Not worth the price. Poor build quality.
1000009,903,4000004,1000002,1,"Great Wong, Crosby and Cobb Window! Excellent build quality. Highly recommend!"
1000010,206,5000005,1000002,2,Really happy with this purchase. Incredible value and Superior performance.
1000011,588,5000005,1000002,1,"Not bad, but not great. Average performance."
1000012,247,6000006,1000003,4,"Decent Ryan-Ross Institution. Long battery life, but Doesn't fit well."
1000013,430,7000007,1000003,2,Good enough for the price. Standard quality.
1000014,523,7000007,1000003,3,Best Mcdonald Ltd In I've bought. Incredible value.
1000015,788,7000007,1000003,1,"Not bad, but not great. Meets basic expectations."
1000016,644,8000008,1000003,1,Average Duffy Inc Car. Fair for the price.
1000017,992,8000008,1000003,2,Not worth the price. Poor build quality.
1000018,389,9000009,1000004,1,Not worth the price. Complicated to use.
1000019,3,9000009,1000004,4,Really happy with this purchase. Amazing features and Amazing features.
1000020,64,10000010,1000004,2,Good enough for the price. Average performance.
1000021,994,10000010,1000004,3,"Superior performance, however Short battery life."
1000022,331,10000010,1000004,2,Really happy with this purchase. Perfect fit and Fast shipping.
1000023,510,11000011,1000004,5,Fast shipping. Worth every penny!
1000024,85,11000011,1000004,5,Not worth the price. Doesn't fit well.
1000025,361,12000012,1000005,3,Had issues with Overpriced.
1000026,275,12000012,1000005,5,Wouldn't recommend. Slow delivery.
1000027,864,12000012,1000005,4,Wouldn't recommend. Poor build quality.
1000028,604,12000012,1000005,3,Best Cox-Carter Deal I've bought. Perfect fit.
1000029,54,12000012,1000005,2,Wouldn't recommend. Missing features.
1000030,920,13000013,1000006,5,Good enough for the price. Fair for the price.
1000031,182,13000013,1000006,1,Wouldn't recommend. Unresponsive customer service.
1000032,886,13000013,1000006,2,Best Morris Ltd Per I've bought. Great customer service.
1000033,891,13000013,1000006,3,Not worth the price. Complicated to use.
1000034,737,13000013,1000006,4,Best Welch-Taylor Talk I've bought. Superior performance.
1000035,436,14000014,1000006,1,Great Washington-Wilson Spring! Superior performance. Highly recommend!
1000036,359,14000014,1000006,3,Poor quality Cooper PLC Under. Short battery life.
1000037,139,14000014,1000006,5,Best Callahan-Drake Pull I've bought. Incredible value.
1000038,425,14000014,1000006,1,"Best Gibson, Mckinney and Watson Let I've bought. Beautiful design."
1000039,144,15000015,1000007,1,Good enough for the price. Average performance.
1000040,706,15000015,1000007,5,Poor quality Francis LLC Character. Unappealing design.
1000041,307,15000015,1000007,3,Not worth the price. Short battery life.
1000042,496,15000015,1000007,1,Had issues with Doesn't fit well.
1000043,327,16000016,1000007,2,Wouldn't recommend. Overpriced.
1000044,259,16000016,1000007,5,Excellent quality Wright Group It. Excellent build quality.
1000045,962,16000016,1000007,3,Best Parker-Ward Score I've bought. Easy to use.
1000046,507,16000016,1000007,2,Wouldn't recommend. Underperforms.
1000047,615,16000016,1000007,5,Best French Group Significant I've bought. Amazing features.
1000048,44,17000017,1000007,2,Excellent quality Miller-Washington Gun. Great customer service.
1000049,977,17000017,1000007,3,Best Martinez Group Give I've bought. Easy to use.
