order_item_id,order_id,product_id,quantity,unit_price,total_price,created_at
1,1000001,269,2,491.33,982.66,2025-02-03 15:23:31.293645
2,1000001,617,3,468.1,1404.3000000000002,2025-02-03 15:23:31.293645
3,2000002,225,2,903.19,1806.38,2025-02-02 15:23:31.293645
4,2000002,662,3,345.83,1037.49,2025-02-02 15:23:31.293645
5,3000003,370,3,381.12,1143.3600000000001,2025-02-02 15:23:31.293645
6,3000003,395,3,777.75,2333.25,2025-02-02 15:23:31.293645
7,4000004,646,2,42.14,84.28,2025-01-12 15:23:31.293645
8,4000004,468,3,189.79,569.37,2025-01-12 15:23:31.293645
9,4000004,903,2,283.59,567.18,2025-01-12 15:23:31.293645
10,5000005,206,3,455.24,1365.72,2025-01-17 15:23:31.293645
11,5000005,588,3,115.42,346.26,2025-01-17 15:23:31.293645
12,6000006,247,2,81.47,162.94,2025-01-12 15:23:31.293645
13,7000007,430,2,199.82,399.64,2025-01-27 15:23:31.293645
14,7000007,523,3,562.64,1687.92,2025-01-27 15:23:31.293645
15,7000007,788,2,418.5,837.0,2025-01-27 15:23:31.293645
16,8000008,644,3,810.58,2431.7400000000002,2025-01-29 15:23:31.293645
17,8000008,992,1,884.65,884.65,2025-01-29 15:23:31.293645
18,9000009,389,2,764.61,1529.22,2025-01-25 15:23:31.293645
19,9000009,3,3,772.2,2316.6000000000004,2025-01-25 15:23:31.293645
20,10000010,64,1,891.63,891.63,2025-01-25 15:23:31.293645
21,10000010,994,1,59.26,59.26,2025-01-25 15:23:31.293645
22,10000010,331,1,846.32,846.32,2025-01-25 15:23:31.293645
23,11000011,510,2,342.71,685.42,2025-01-25 15:23:31.293645
24,11000011,85,2,290.71,581.42,2025-01-25 15:23:31.293645
25,12000012,361,2,187.26,374.52,2025-02-01 15:23:31.293645
26,12000012,275,3,693.23,2079.69,2025-02-01 15:23:31.293645
27,12000012,864,3,90.33,270.99,2025-02-01 15:23:31.293645
28,12000012,604,1,20.86,20.86,2025-02-01 15:23:31.293645
29,12000012,54,3,739.56,2218.68,2025-02-01 15:23:31.293645
30,13000013,920,2,579.59,1159.18,2025-01-24 15:23:31.293645
31,13000013,182,2,372.71,745.42,2025-01-24 15:23:31.293645
32,13000013,886,1,870.43,870.43,2025-01-24 15:23:31.293645
33,13000013,891,3,607.11,1821.33,2025-01-24 15:23:31.293645
34,13000013,737,2,166.68,333.36,2025-01-24 15:23:31.293645
35,14000014,436,3,804.88,2414.64,2025-01-30 15:23:31.293645
36,14000014,359,1,223.26,223.26,2025-01-30 15:23:31.293645
37,14000014,139,3,774.15,2322.45,2025-01-30 15:23:31.293645
38,14000014,425,3,851.18,2553.54,2025-01-30 15:23:31.293645
39,15000015,144,2,580.25,1160.5,2025-02-01 15:23:31.293645
40,15000015,706,3,829.75,2489.25,2025-02-01 15:23:31.293645
41,15000015,307,1,837.25,837.25,2025-02-01 15:23:31.293645
42,15000015,496,3,167.54,502.62,2025-02-01 15:23:31.293645
43,16000016,327,1,341.71,341.71,2025-02-01 15:23:31.293645
44,16000016,259,2,110.18,220.36,2025-02-01 15:23:31.293645
45,16000016,962,1,432.09,432.09,2025-02-01 15:23:31.293645
46,16000016,507,2,384.45,768.9,2025-02-01 15:23:31.293645
47,16000016,615,2,13.5,27.0,2025-02-01 15:23:31.293645
48,17000017,44,3,275.39,826.17,2025-02-01 15:23:31.293645
49,17000017,977,3,542.91,1628.73,2025-02-01 15:23:31.293645
50,17000017,846,2,766.86,1533.72,2025-02-01 15:23:31.293645
51,17000017,851,2,730.08,1460.16,2025-02-01 15:23:31.293645
52,18000018,687,1,801.87,801.87,2025-01-17 15:23:31.293645
53,18000018,838,2,716.28,1432.56,2025-01-17 15:23:31.293645
54,18000018,923,3,529.46,1588.38,2025-01-17 15:23:31.293645
55,18000018,682,2,553.8,1107.6,2025-01-17 15:23:31.293645
56,19000019,295,2,524.75,1049.5,2025-02-01 15:23:31.293645
57,19000019,916,1,375.45,375.45,2025-02-01 15:23:31.293645
58,19000019,163,3,472.68,1418.04,2025-02-01 15:23:31.293645
59,20000020,869,3,106.42,319.26,2025-01-24 15:23:31.293645
60,20000020,985,1,538.93,538.93,2025-01-24 15:23:31.293645
61,20000020,175,1,500.76,500.76,2025-01-24 15:23:31.293645
62,21000021,855,1,733.61,733.61,2025-01-21 15:23:31.293645
63,21000021,238,3,25.34,76.02,2025-01-21 15:23:31.293645
64,21000021,580,3,119.94,359.82,2025-01-21 15:23:31.293645
65,22000022,472,3,613.01,1839.03,2025-01-11 15:23:31.293645
66,22000022,645,2,870.09,1740.18,2025-01-11 15:23:31.293645
67,22000022,661,1,583.82,583.82,2025-01-11 15:23:31.293645
68,22000022,592,2,488.04,976.08,2025-01-11 15:23:31.293645
69,23000023,969,1,156.8,156.8,2025-01-24 15:23:31.293645
70,23000023,228,3,57.04,171.12,2025-01-24 15:23:31.293645
71,23000023,606,2,443.09,886.18,2025-01-24 15:23:31.293645
72,24000024,308,1,528.61,528.61,2025-01-27 15:23:31.293645
73,24000024,857,1,443.48,443.48,2025-01-27 15:23:31.293645
74,24000024,377,2,260.68,521.36,2025-01-27 15:23:31.293645
75,24000024,904,1,831.9,831.9,2025-01-27 15:23:31.293645
76,24000024,469,1,434.7,434.7,2025-01-27 15:23:31.293645
77,25000025,549,3,114.02,342.06,2025-01-27 15:23:31.293645
78,25000025,454,2,316.59,633.18,2025-01-27 15:23:31.293645
79,26000026,699,2,863.31,1726.62,2025-02-04 15:23:31.293645
80,26000026,636,3,429.08,1287.24,2025-02-04 15:23:31.293645
81,27000027,163,3,472.68,1418.04,2025-02-03 15:23:31.293645
82,27000027,812,2,418.6,837.2,2025-02-03 15:23:31.293645
83,28000028,354,3,42.04,126.12,2025-01-31 15:23:31.293645
84,28000028,88,1,433.94,433.94,2025-01-31 15:23:31.293645
85,28000028,963,3,320.09,960.27,2025-01-31 15:23:31.293645
86,28000028,120,3,368.53,1105.59,2025-01-31 15:23:31.293645
87,28000028,904,2,831.9,1663.8,2025-01-31 15:23:31.293645
88,29000029,66,3,33.23,99.69,2025-01-31 15:23:31.293645
89,29000029,658,2,819.38,1638.76,2025-01-31 15:23:31.293645
90,30000030,816,3,258.49,775.47,2025-02-01 15:23:31.293645
91,30000030,944,3,613.15,1839.4499999999998,2025-02-01 15:23:31.293645
92,30000030,112,1,478.6,478.6,2025-02-01 15:23:31.293645
93,30000030,906,3,212.93,638.79,2025-02-01 15:23:31.293645
94,30000030,45,2,763.33,1526.66,2025-02-01 15:23:31.293645
95,31000031,704,3,88.7,266.1,2025-01-16 15:23:31.293645
96,31000031,929,2,404.56,809.12,2025-01-16 15:23:31.293645
97,31000031,299,1,294.57,294.57,2025-01-16 15:23:31.293645
98,32000032,514,2,31.13,62.26,2025-01-28 15:23:31.293645
99,32000032,227,2,493.01,986.02,2025-01-28 15:23:31.293645
100,33000033,799,1,450.38,450.38,2025-01-27 15:23:31.293645
101,33000033,190,3,329.59,988.77,2025-01-27 15:23:31.293645
102,33000033,15,2,91.31,182.62,2025-01-27 15:23:31.293645
103,33000033,408,1,462.58,462.58,2025-01-27 15:23:31.293645
104,34000034,630,3,592.98,1778.94,2025-01-12 15:23:31.293645
105,34000034,888,1,854.18,854.18,2025-01-12 15:23:31.293645
106,34000034,550,3,322.66,967.98,2025-01-12 15:23:31.293645
107,34000034,887,1,667.68,667.68,2025-01-12 15:23:31.293645
108,34000034,162,2,767.19,1534.38,2025-01-12 15:23:31.293645
109,35000035,461,2,841.1,1682.2,2025-01-11 15:23:31.293645
110,35000035,980,3,139.1,417.29999999999995,2025-01-11 15:23:31.293645
111,35000035,135,3,525.23,1575.69,2025-01-11 15:23:31.293645
112,35000035,923,2,529.46,1058.92,2025-01-11 15:23:31.293645
113,36000036,36,3,162.52,487.56000000000006,2025-01-31 15:23:31.293645
114,36000036,236,1,387.38,387.38,2025-01-31 15:23:31.293645
115,36000036,919,2,358.25,716.5,2025-01-31 15:23:31.293645
116,37000037,657,3,855.55,2566.6499999999996,2025-01-08 15:23:31.293645
117,37000037,674,2,19.5,39.0,2025-01-08 15:23:31.293645
118,37000037,220,1,736.12,736.12,2025-01-08 15:23:31.293645
119,37000037,537,1,76.34,76.34,2025-01-08 15:23:31.293645
120,38000038,469,1,434.7,434.7,2025-01-22 15:23:31.293645
121,38000038,235,2,915.95,1831.9,2025-01-22 15:23:31.293645
122,38000038,392,2,578.12,1156.24,2025-01-22 15:23:31.293645
123,39000039,429,2,447.13,894.26,2025-01-30 15:23:31.293645
124,39000039,114,1,761.17,761.17,2025-01-30 15:23:31.293645
125,39000039,892,2,272.46,544.92,2025-01-30 15:23:31.293645
126,39000039,59,3,698.29,2094.87,2025-01-30 15:23:31.293645
127,39000039,600,1,756.36,756.36,2025-01-30 15:23:31.293645
128,40000040,338,1,562.74,562.74,2025-01-30 15:23:31.293645
129,40000040,89,3,208.3,624.9000000000001,2025-01-30 15:23:31.293645
130,41000041,49,2,728.06,1456.12,2025-01-17 15:23:31.293645
131,41000041,450,1,357.47,357.47,2025-01-17 15:23:31.293645
132,42000042,931,3,492.01,1476.03,2025-01-29 15:23:31.293645
133,43000043,813,3,124.44,373.32,2025-01-29 15:23:31.293645
134,43000043,136,2,242.46,484.92,2025-01-29 15:23:31.293645
135,44000044,123,1,835.51,835.51,2025-01-30 15:23:31.293645
